Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR8146954_1	(1.0, 65.16412789725625)	(2.0, 16.087937565659644)	(3.0, 8.043652386809638)	(4.0, 4.698912342009193)	(5.0, 2.663575840155369)	(6.0, 1.319559265302405)	(7.0, 0.6778184199910944)	(8.0, 0.30155910596095126)	(9.0, 0.17371302412545261)	('>10', 0.8618911773397091)	('>50', 0.0032464345605334737)	('>100', 0.001145844090374968)	('>500', 0.0028606967393394922)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8146954_2	(1.0, 75.06194109542992)	(2.0, 11.939691697961509)	(3.0, 5.959433618569325)	(4.0, 3.2837517585264533)	(5.0, 1.6616893496471306)	(6.0, 0.8259376011671605)	(7.0, 0.3656791404311957)	(8.0, 0.17451343974109523)	(9.0, 0.11010276322957345)	('>10', 0.6161879672163065)	('>50', 0.0010715680803071504)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8146955_1	(1.0, 77.13883943515101)	(2.0, 15.867388826479717)	(3.0, 4.270344613642362)	(4.0, 1.371372454206762)	(5.0, 0.4821313271849534)	(6.0, 0.2172275226869633)	(7.0, 0.11680349811539092)	(8.0, 0.08065371699398304)	(9.0, 0.05753678262261444)	('>10', 0.3897767969137116)	('>50', 0.0021343639894446675)	('>100', 0.0015621270647384524)	('>500', 0.004228534948313311)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8146955_2	(1.0, 84.59617233798494)	(2.0, 10.895309449047815)	(3.0, 2.7697043115100644)	(4.0, 0.8487692729090048)	(5.0, 0.3154079531949678)	(6.0, 0.12269484538213933)	(7.0, 0.08659408386904444)	(8.0, 0.0483898282273963)	(9.0, 0.037345426903564655)	('>10', 0.2712812715023906)	('>50', 0.0010967589545310124)	('>100', 0.0029762246608873136)	('>500', 0.004258235853274622)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8146956_1	(1.0, 76.37174637718725)	(2.0, 15.789670642585197)	(3.0, 4.338918196405877)	(4.0, 1.5773145228829653)	(5.0, 0.7012826999105055)	(6.0, 0.40744070650271447)	(7.0, 0.20852166150509857)	(8.0, 0.13415400992076373)	(9.0, 0.092920337591211)	('>10', 0.35551198489356495)	('>50', 0.017473530968865995)	('>100', 0.005045329645977892)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8146956_2	(1.0, 84.21464318867518)	(2.0, 10.754590897946176)	(3.0, 2.7539640938776424)	(4.0, 1.0476009372280153)	(5.0, 0.4732274027836344)	(6.0, 0.24446045379974074)	(7.0, 0.12188235481200162)	(8.0, 0.08875463209479525)	(9.0, 0.05049298132419119)	('>10', 0.22904419260264056)	('>50', 0.010938727461253473)	('>100', 0.010400137394709364)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8146957_1	(1.0, 74.81079489412399)	(2.0, 15.878999580835599)	(3.0, 4.833460671388397)	(4.0, 1.9309855477073585)	(5.0, 0.9273558663809134)	(6.0, 0.47923042918584574)	(7.0, 0.2916590136296218)	(8.0, 0.18826528752753588)	(9.0, 0.1431093711087872)	('>10', 0.49680157262684127)	('>50', 0.014953106484686987)	('>100', 0.0022904834218087375)	('>500', 0.002094175578630091)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8146957_2	(1.0, 84.06454936744984)	(2.0, 10.15279414936477)	(3.0, 3.0080398650836115)	(4.0, 1.1881847967194012)	(5.0, 0.5369782076880572)	(6.0, 0.3375819732225829)	(7.0, 0.18304096714347043)	(8.0, 0.11678086822267558)	(9.0, 0.08162729011425937)	('>10', 0.3122025026112374)	('>50', 0.014901184449696046)	('>100', 0.0011584082221802905)	('>500', 0.0021604197082694416)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8146959_1	(1.0, 77.32909812099562)	(2.0, 15.406879209789908)	(3.0, 4.103337671294726)	(4.0, 1.3620567051424841)	(5.0, 0.6071246967910329)	(6.0, 0.3301719107794486)	(7.0, 0.20564656681426483)	(8.0, 0.1524379004106877)	(9.0, 0.09199872674384517)	('>10', 0.39943535763262966)	('>50', 0.009916770501239914)	('>100', 0.0)	('>500', 0.0018963631042252813)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8146959_2	(1.0, 84.78253532965667)	(2.0, 10.50752234541078)	(3.0, 2.6082465821444507)	(4.0, 0.9405608389560567)	(5.0, 0.3819764274450559)	(6.0, 0.22749234453459158)	(7.0, 0.13708891985716554)	(8.0, 0.0928658609992108)	(9.0, 0.06064905607328097)	('>10', 0.24907700613395445)	('>50', 0.007670289712036619)	('>100', 0.00236232971662533)	('>500', 0.0019526693601675357)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8146960_1	(1.0, 42.767834533787806)	(2.0, 14.39628178853205)	(3.0, 9.80200375895223)	(4.0, 7.675644084678036)	(5.0, 5.813722803853773)	(6.0, 4.288276253378971)	(7.0, 3.1345475862749965)	(8.0, 2.2965541382461674)	(9.0, 1.662767486815501)	('>10', 7.477449540431352)	('>50', 0.49453832569885314)	('>100', 0.19037969935010832)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8146960_2	(1.0, 58.521252421324)	(2.0, 10.633631268257187)	(3.0, 7.454025890020357)	(4.0, 5.755719721639352)	(5.0, 4.41139612072646)	(6.0, 3.100254219120089)	(7.0, 2.2230369351323738)	(8.0, 1.5549984643271155)	(9.0, 1.1078919013831217)	('>10', 4.782116463025446)	('>50', 0.3346844752035705)	('>100', 0.12099211984091468)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
SRR8146961_1	(1.0, 74.2893388566824)	(2.0, 16.330266937228778)	(3.0, 5.280068470438454)	(4.0, 1.968754848652263)	(5.0, 0.8075128678003082)	(6.0, 0.35053598646545414)	(7.0, 0.19170172757871473)	(8.0, 0.11723278306600235)	(9.0, 0.08807012220653297)	('>10', 0.5409255306491689)	('>50', 0.005500363582525675)	('>100', 0.007447470285033649)	('>500', 0.00480623373460971)	('>1k', 0.01783780162973248)	('>5k', 0.0)	('>10k+', 0.0)
SRR8146961_2	(1.0, 82.37984379447559)	(2.0, 11.601313950694376)	(3.0, 3.4265829123670377)	(4.0, 1.25717590186044)	(5.0, 0.44957421438988654)	(6.0, 0.21155092934679134)	(7.0, 0.1301627587578723)	(8.0, 0.07478762911437291)	(9.0, 0.06681017550956034)	('>10', 0.36821006263787137)	('>50', 0.005456470957713733)	('>100', 0.006145388044732973)	('>500', 0.004749515673790897)	('>1k', 0.017636296169990393)	('>5k', 0.0)	('>10k+', 0.0)
SRR8146963_1	(1.0, 72.73357144298451)	(2.0, 14.037740236336644)	(3.0, 4.427883370165354)	(4.0, 1.9890232352303912)	(5.0, 1.1333538589412206)	(6.0, 0.7880559533515028)	(7.0, 0.5524771150821015)	(8.0, 0.4978731147688303)	(9.0, 0.3844084729232758)	('>10', 3.3481719920181305)	('>50', 0.07953394314026817)	('>100', 0.004639624910500762)	('>500', 0.0060819720474099455)	('>1k', 0.017185668099876265)	('>5k', 0.0)	('>10k+', 0.0)
SRR8146963_2	(1.0, 81.40183638886772)	(2.0, 9.553475497738804)	(3.0, 2.9938124690564973)	(4.0, 1.26859242140566)	(5.0, 0.7811360559398555)	(6.0, 0.5901107105090019)	(7.0, 0.40045727841432255)	(8.0, 0.3637454564939306)	(9.0, 0.27630370190759473)	('>10', 2.3021201192499774)	('>50', 0.04311103543705833)	('>100', 0.004040340256032558)	('>500', 0.005190405102868269)	('>1k', 0.016068119620718878)	('>5k', 0.0)	('>10k+', 0.0)
SRR8146965_1	(1.0, 63.451252275391425)	(2.0, 20.967880783812937)	(3.0, 8.333907613625215)	(4.0, 3.46123046815255)	(5.0, 1.4997308288618765)	(6.0, 0.7088003797918763)	(7.0, 0.39632387330910307)	(8.0, 0.2555549041723093)	(9.0, 0.14467895570233455)	('>10', 0.6648081184192868)	('>50', 0.07178717033262472)	('>100', 0.04404462842848523)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
