Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
SRR8146952_1	(1, 30.907259957321852)	(2, 31.457685169209924)	(3, 35.3207257426516)	(4, 35.98249947741292)	(5, 36.217903431748425)	(6, 39.626111151533706)	(7, 39.7413276461583)	(8, 39.837488778674455)	(9, 39.81068715516249)	(10, 39.81289072296607)	(15, 39.74093368728924)	(20, 39.66524945107064)	(25, 39.51856354865705)	(30, 39.43650818387181)	(35, 39.34696725502225)	(40, 39.272111156887334)	(45, 39.22190776526678)	(50, 39.19343888091659)	(55, 39.101597858354204)	(60, 39.01581589166009)	(65, 38.963951848498176)	(70, 39.00558717251312)	(75, 38.74591158775703)	(80, 39.03335540325836)	(85, 39.01099161110858)	(90, 38.91343676866707)	(95, 38.88525499937582)	(100, 38.80633641759075)	(105, 38.7834746942531)	(110, 38.68406644533471)	(115, 38.59159318853068)	(120, 38.39822122309467)	(125, 38.21984460851962)	(130, 38.268487646382184)	(135, 38.1678908872251)	(140, 37.98046188180504)	(145, 37.8174036803271)	(150, 37.74574991306439)
SRR8146952_2	(1, 30.497469194130574)	(2, 30.862028251093903)	(3, 34.06208577825809)	(4, 34.98302778313816)	(5, 35.30070682487772)	(6, 38.41849014068604)	(7, 38.65903277466605)	(8, 38.607220681161536)	(9, 38.68093015876183)	(10, 38.68012670576924)	(15, 38.53249074856614)	(20, 38.393555658139725)	(25, 38.188952419146226)	(30, 38.11712337410932)	(35, 38.09552958937918)	(40, 38.04696502109938)	(45, 38.05645292469903)	(50, 37.99086411689598)	(55, 37.87314316598461)	(60, 37.971787904840724)	(65, 38.004724610602665)	(70, 37.93078071710871)	(75, 37.616446101257054)	(80, 38.02418291594099)	(85, 37.92567373094078)	(90, 37.812923117281194)	(95, 37.70057268243277)	(100, 37.65718649824803)	(105, 37.388256063044324)	(110, 37.13214253888011)	(115, 36.95835328735865)	(120, 36.76647253601105)	(125, 36.51183290938279)	(130, 36.30573012410926)	(135, 35.88411739240364)	(140, 35.61859662434299)	(145, 35.239315135646834)	(150, 34.92075195236691)
SRR8146954_1	(1, 30.89532205461132)	(2, 31.493978601407445)	(3, 35.29897927959792)	(4, 35.94207572188858)	(5, 36.13536451426482)	(6, 39.48810267321539)	(7, 39.68396803287286)	(8, 39.77216658563187)	(9, 39.81838363701019)	(10, 39.721597830553726)	(15, 39.699953700712385)	(20, 39.59504085070687)	(25, 39.43914143364326)	(30, 39.29788210574142)	(35, 39.2555017308301)	(40, 39.20446289619615)	(45, 39.14040924435905)	(50, 39.10829843837035)	(55, 39.01405894962049)	(60, 38.880875044344755)	(65, 38.85679235991258)	(70, 38.92383722135156)	(75, 38.56072395654471)	(80, 38.863767338314645)	(85, 38.861903324225246)	(90, 38.783488253523565)	(95, 38.79568125439638)	(100, 38.713476076837416)	(105, 38.69852764025067)	(110, 38.618230433277056)	(115, 38.42690824488279)	(120, 38.25527248177592)	(125, 38.09149623343237)	(130, 38.12350641068893)	(135, 37.948316272209276)	(140, 37.78035372019679)	(145, 37.64332276020504)	(150, 37.46424333826212)
SRR8146954_2	(1, 30.44780511959342)	(2, 30.831882622321686)	(3, 34.229719229140976)	(4, 34.93013376545295)	(5, 35.33083933797372)	(6, 38.340946019271)	(7, 38.48363446068433)	(8, 38.50386552672715)	(9, 38.58962794719348)	(10, 38.58109892936012)	(15, 38.39612712687186)	(20, 38.19319605598975)	(25, 38.12845983021333)	(30, 38.06893619926365)	(35, 37.9568673769495)	(40, 37.89708962201071)	(45, 37.83582768205518)	(50, 37.83525868580732)	(55, 37.66045397895866)	(60, 37.734482410802585)	(65, 37.793004991259316)	(70, 37.73046791538876)	(75, 37.37499420795117)	(80, 37.81576433233273)	(85, 37.715044257825596)	(90, 37.60382383881679)	(95, 37.46778716066425)	(100, 37.36433893177499)	(105, 37.17529649168009)	(110, 36.99359920697033)	(115, 36.67665802466302)	(120, 36.532998808833554)	(125, 36.31090743900486)	(130, 36.002227713942595)	(135, 35.64230279776498)	(140, 35.2157979317814)	(145, 34.85803466494184)	(150, 34.718739539925544)
SRR8146955_1	(1, 30.91136906971433)	(2, 31.50558648239216)	(3, 35.32625085497146)	(4, 35.96564734986878)	(5, 36.1553742134115)	(6, 39.518022993199764)	(7, 39.71483375931911)	(8, 39.799759646055094)	(9, 39.844338646008474)	(10, 39.75046251374299)	(15, 39.72854533104436)	(20, 39.626358612948586)	(25, 39.47564304535671)	(30, 39.34886574395648)	(35, 39.29804888636832)	(40, 39.248441309860546)	(45, 39.18241742200211)	(50, 39.151960389518806)	(55, 39.05650259515928)	(60, 38.92474508542632)	(65, 38.904682626920845)	(70, 38.972158113804596)	(75, 38.61180508952193)	(80, 38.906947081176114)	(85, 38.90443631487972)	(90, 38.82397136620161)	(95, 38.83383092485634)	(100, 38.751718250977724)	(105, 38.73451156181082)	(110, 38.653668373167086)	(115, 38.46062145256922)	(120, 38.286909715603585)	(125, 38.12237788941995)	(130, 38.15405347532991)	(135, 37.977836052029474)	(140, 37.810333656929096)	(145, 37.67304668454017)	(150, 37.49389356469381)
SRR8146955_2	(1, 30.550328857876153)	(2, 30.951915755729857)	(3, 34.341735885667816)	(4, 35.04054987279441)	(5, 35.4079521463841)	(6, 38.44030427836868)	(7, 38.61181286998355)	(8, 38.610025299483446)	(9, 38.69090721103145)	(10, 38.69547538537894)	(15, 38.56173531204762)	(20, 38.37977208865619)	(25, 38.3238183842913)	(30, 38.27492650638743)	(35, 38.1695189934972)	(40, 38.12244357011297)	(45, 38.05907070931206)	(50, 38.05758971638257)	(55, 37.89137774955577)	(60, 37.97071442743321)	(65, 38.03126929284786)	(70, 37.97213193500624)	(75, 37.613051011477715)	(80, 38.041812918375385)	(85, 37.94440092038895)	(90, 37.83819863900936)	(95, 37.70802907522627)	(100, 37.612151145381446)	(105, 37.42656193888349)	(110, 37.25361717697422)	(115, 36.94436136184045)	(120, 36.80488131432203)	(125, 36.594432791718624)	(130, 36.295949115403296)	(135, 35.95033991481858)	(140, 35.53767997068164)	(145, 35.19258182556399)	(150, 35.055138875692606)
SRR8146956_1	(1, 30.908371041004756)	(2, 31.53828291890512)	(3, 35.3966386034852)	(4, 36.018068334029714)	(5, 36.23235020114261)	(6, 39.66126018092236)	(7, 39.76829887896363)	(8, 39.874330213416826)	(9, 39.84662572910751)	(10, 39.847328783807406)	(15, 39.7780432762762)	(20, 39.70422838545376)	(25, 39.56133172840866)	(30, 39.464386899895025)	(35, 39.3916430619862)	(40, 39.32237618966373)	(45, 39.27593435541711)	(50, 39.24854540877651)	(55, 39.15977375744633)	(60, 39.07576256301731)	(65, 39.02643825811332)	(70, 39.07367341414447)	(75, 38.815186086756576)	(80, 39.09531111540561)	(85, 39.071554411210556)	(90, 38.97402168504879)	(95, 38.94672701151664)	(100, 38.87091166528822)	(105, 38.84646320467114)	(110, 38.74810978471072)	(115, 38.65542132921261)	(120, 38.461313321548246)	(125, 38.28834539947379)	(130, 38.33706726193434)	(135, 38.234870675175856)	(140, 38.05182184482312)	(145, 37.88670072068219)	(150, 37.81139771362768)
SRR8146956_2	(1, 30.597979400300716)	(2, 31.10671762044369)	(3, 34.549644538605584)	(4, 35.266762889009364)	(5, 35.528407251091764)	(6, 38.666124397315556)	(7, 38.856403132680846)	(8, 38.925771679575874)	(9, 38.96133904051907)	(10, 38.93731610700065)	(15, 38.820351400269146)	(20, 38.707825690605986)	(25, 38.52349702251162)	(30, 38.46223024430837)	(35, 38.45944854972257)	(40, 38.42071323307816)	(45, 38.43254336396692)	(50, 38.37473250855574)	(55, 38.27001495135461)	(60, 38.37276618625985)	(65, 38.410356966507706)	(70, 38.34417599837734)	(75, 38.03115409773794)	(80, 38.41149260724789)	(85, 38.319089438229874)	(90, 38.21658277927013)	(95, 38.119682707027664)	(100, 38.08025124570215)	(105, 37.825106074000836)	(110, 37.585404367399946)	(115, 37.42603704514689)	(120, 37.24408662482962)	(125, 37.0026094057766)	(130, 36.80854662597235)	(135, 36.403576540347196)	(140, 36.15784662667228)	(145, 35.7957416021455)	(150, 35.47980533521228)
SRR8146957_1	(1, 30.899586882430796)	(2, 31.531696745362627)	(3, 35.38400613884285)	(4, 36.007421189088205)	(5, 36.22720582201768)	(6, 39.64838648360493)	(7, 39.753942149015735)	(8, 39.86124619030878)	(9, 39.83543619960412)	(10, 39.83394332203298)	(15, 39.76186138496314)	(20, 39.68745874458501)	(25, 39.5417139731653)	(30, 39.45745496859041)	(35, 39.37813533753511)	(40, 39.3039392855433)	(45, 39.25558906601107)	(50, 39.22768803393351)	(55, 39.13761630266623)	(60, 39.05275625305613)	(65, 39.004155835892995)	(70, 39.050027472363745)	(75, 38.790758700210056)	(80, 39.07480245691066)	(85, 39.05248817204327)	(90, 38.9566295504593)	(95, 38.93054853435798)	(100, 38.854050301836836)	(105, 38.83177196923742)	(110, 38.734813959741906)	(115, 38.64303250848356)	(120, 38.45059593577944)	(125, 38.2785851454417)	(130, 38.327315703578854)	(135, 38.22542830620849)	(140, 38.043713801791114)	(145, 37.87833251652338)	(150, 37.80478538145814)
SRR8146957_2	(1, 30.564400245007462)	(2, 31.067174714958192)	(3, 34.4916246884765)	(4, 35.213476191992925)	(5, 35.50126797953819)	(6, 38.62280428795426)	(7, 38.8338428182947)	(8, 38.87120243068749)	(9, 38.920121255723636)	(10, 38.88245286982891)	(15, 38.743215711516065)	(20, 38.616885717374444)	(25, 38.41897814805443)	(30, 38.34865819970824)	(35, 38.33772083223757)	(40, 38.29289222201554)	(45, 38.30197563810539)	(50, 38.24056815397911)	(55, 38.12951831183717)	(60, 38.229808290224355)	(65, 38.26641326021)	(70, 38.196363401846305)	(75, 37.882499281369064)	(80, 38.27527124938295)	(85, 38.183899509523286)	(90, 38.07749110951998)	(95, 37.97768081308882)	(100, 37.935240859869)	(105, 37.67520342593657)	(110, 37.430812242211005)	(115, 37.26369156419442)	(120, 37.07625950456757)	(125, 36.83232089157519)	(130, 36.632091995337454)	(135, 36.21596346611754)	(140, 35.96092390263783)	(145, 35.58620750747533)	(150, 35.26862341831918)
SRR8146959_1	(1, 30.926390060439335)	(2, 31.531350545618256)	(3, 35.40137804720981)	(4, 36.01226121753483)	(5, 36.230156840580285)	(6, 39.64560855221289)	(7, 39.76743191089788)	(8, 39.869448150528044)	(9, 39.84392670278449)	(10, 39.844632036193104)	(15, 39.777376811679275)	(20, 39.704382608463234)	(25, 39.56346932384001)	(30, 39.48039936268137)	(35, 39.40346840189921)	(40, 39.331682768934506)	(45, 39.27864932534249)	(50, 39.250572516311635)	(55, 39.163236306548235)	(60, 39.078148663874316)	(65, 39.027022853229866)	(70, 39.0762645663874)	(75, 38.817400085274116)	(80, 39.099859201135594)	(85, 39.07918332059758)	(90, 38.982670715884055)	(95, 38.95591597753982)	(100, 38.88235685293235)	(105, 38.858665170929534)	(110, 38.760946365742086)	(115, 38.67104471502169)	(120, 38.47953063907134)	(125, 38.30715538330243)	(130, 38.359110194027686)	(135, 38.259015281195865)	(140, 38.0770027087692)	(145, 37.920734050998966)	(150, 37.84508456629164)
SRR8146959_2	(1, 30.58147707306627)	(2, 31.071442215425915)	(3, 34.47024367073977)	(4, 35.173990599937014)	(5, 35.53975660059433)	(6, 38.689346392393965)	(7, 38.882492747223175)	(8, 38.875967851859265)	(9, 38.92832976112833)	(10, 38.92299917947809)	(15, 38.78007930476358)	(20, 38.65840517713045)	(25, 38.46474864385023)	(30, 38.39679068294415)	(35, 38.38660371859737)	(40, 38.34331417754237)	(45, 38.34627433793194)	(50, 38.28656486885595)	(55, 38.18163751998249)	(60, 38.28412264009328)	(65, 38.320389134765314)	(70, 38.25174159568313)	(75, 37.93739525806998)	(80, 38.32662353761942)	(85, 38.235579567616796)	(90, 38.13030035549096)	(95, 38.03109462859379)	(100, 37.99208518148694)	(105, 37.73524964103688)	(110, 37.490685765702004)	(115, 37.33103458611688)	(120, 37.14964154817126)	(125, 36.90646112508646)	(130, 36.71443628635644)	(135, 36.30583436224326)	(140, 36.0583338457481)	(145, 35.69855938634514)	(150, 35.37323682206659)
SRR8146960_1	(1, 30.910445904256907)	(2, 31.529973677379648)	(3, 35.350727965855036)	(4, 35.99270816165046)	(5, 36.172532865725486)	(6, 39.551945822381)	(7, 39.74450700098049)	(8, 39.833914407264274)	(9, 39.875677034615244)	(10, 39.78388477046206)	(15, 39.76391579714424)	(20, 39.668676741300146)	(25, 39.52092267180585)	(30, 39.39283592933964)	(35, 39.356890799579666)	(40, 39.30318901608051)	(45, 39.238694475300534)	(50, 39.212136879498004)	(55, 39.12107331411528)	(60, 38.99211413635575)	(65, 38.976435060640185)	(70, 39.047366713585305)	(75, 38.69326712827077)	(80, 38.978618497606774)	(85, 38.97542638604891)	(90, 38.89499844258131)	(95, 38.90302254960577)	(100, 38.825733339327144)	(105, 38.81106775906311)	(110, 38.73221366690906)	(115, 38.539143055709296)	(120, 38.36882907495287)	(125, 38.21104067629564)	(130, 38.24347868765972)	(135, 38.070094346532926)	(140, 37.90555002069077)	(145, 37.77256053993124)	(150, 37.59848015610914)
SRR8146960_2	(1, 30.615926126720247)	(2, 31.062720945014558)	(3, 34.421402053809864)	(4, 35.2148067255213)	(5, 35.534590087209274)	(6, 38.58522522491089)	(7, 38.862780020763736)	(8, 38.82726051382073)	(9, 38.926375677470745)	(10, 38.94063374824715)	(15, 38.7935345881512)	(20, 38.63086107095559)	(25, 38.58306341160877)	(30, 38.542717495950725)	(35, 38.450450196226676)	(40, 38.42138801672426)	(45, 38.367956967290844)	(50, 38.36984309801841)	(55, 38.21583793433669)	(60, 38.30249162949949)	(65, 38.367057925784664)	(70, 38.312598650256994)	(75, 37.95971651724801)	(80, 38.3685391170154)	(85, 38.277552293941255)	(90, 38.18068540846653)	(95, 38.06303216069064)	(100, 37.97720642806614)	(105, 37.80336859418885)	(110, 37.644746356905046)	(115, 37.356689561639776)	(120, 37.22881830269169)	(125, 37.035287331249414)	(130, 36.75884764760422)	(135, 36.43979738005179)	(140, 36.05139036609583)	(145, 35.72768122855092)	(150, 35.59985947171073)
