.	Basic Statistics	Per Base Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
SRR8146935_1	1	1	1	0.5	0.5	1	0.5	1	1	1
SRR8146935_2	1	1	1	0.5	0.5	1	0.5	1	1	1
SRR8146936_1	1	1	1	0.5	0.5	1	1	0.5	1	1
SRR8146936_2	1	1	1	0.5	0.5	1	1	1	1	1
SRR8146938_1	1	1	1	0.5	1	1	0.5	1	1	1
SRR8146938_2	1	1	1	0.5	1	1	0.5	1	1	1
SRR8146944_1	1	1	1	0.5	0.5	1	0.5	0.5	1	1
SRR8146944_2	1	1	1	0.5	0.5	1	1	1	1	1
SRR8146951_1	1	1	1	0.5	0.5	1	1	1	1	1
SRR8146951_2	1	1	1	0.5	0.5	1	0.5	1	1	1
SRR8146952_1	1	1	1	0.5	1	1	1	1	1	1
SRR8146952_2	1	1	1	0.5	1	1	0.5	1	1	1
SRR8146954_1	1	1	1	0.5	1	1	0.5	1	1	1
SRR8146954_2	1	1	1	0.5	1	1	1	1	1	1
SRR8146955_1	1	1	1	0.5	1	1	0.5	1	1	1
SRR8146955_2	1	1	1	0.5	1	1	1	1	1	1
SRR8146956_1	1	1	1	0.5	1	1	1	1	1	1
SRR8146956_2	1	1	1	0.5	1	1	0.5	1	1	1
SRR8146957_1	1	1	1	0.5	1	1	1	1	1	1
SRR8146957_2	1	1	1	0.5	1	1	0.5	1	1	1
SRR8146959_1	1	1	1	0.5	1	1	1	1	1	1
SRR8146959_2	1	1	1	0.5	1	1	0.5	1	1	1
SRR8146960_1	1	1	1	0.5	0.5	1	0.5	0.5	1	1
SRR8146960_2	1	1	1	0.5	0.5	1	1	1	1	1
SRR8146961_1	1	1	1	0.5	1	1	0.5	1	1	1
SRR8146961_2	1	1	1	0.5	1	1	1	1	1	1
SRR8146963_1	1	1	1	0.5	0.5	1	0.5	1	1	1
SRR8146963_2	1	1	1	0.5	0.5	1	1	1	1	1
SRR8146965_1	1	1	1	0.5	0.5	1	1	1	1	1
SRR8146965_2	1	1	1	0.5	1	1	0.5	1	1	1
SRR8146969_1	1	1	1	0.5	0.25	1	0.5	1	1	1
SRR8146969_2	1	1	1	0.5	0.25	1	0.5	1	1	1
SRR8146970_1	1	1	1	0.5	1	1	0.5	1	1	1
SRR8146970_2	1	1	1	0.5	1	1	0.5	1	1	1
SRR8146971_1	1	1	1	0.5	1	1	0.5	1	1	1
SRR8146971_2	1	1	1	0.5	1	1	0.5	1	1	1
SRR8146972_1	1	1	1	0.5	1	1	0.5	1	1	1
SRR8146972_2	1	1	1	0.5	1	1	0.5	1	1	1
SRR8146975_1	1	1	1	0.5	1	1	1	1	1	1
SRR8146975_2	1	1	1	0.5	1	1	1	1	1	1
